 SUMMARY.ISOMASS.DAT
 DOI: 10.3334/CDIAC/ffe.db1013.2013
  All values, except year, should be zero or negative.
  Units of minigrid and maxigrid are mass*del.                                   
  Units of del 13 C are per mil.                                                 
 year  minigrid maxigrid   del13C
 1751     -9.01    -1.31   -24.10
 1752     -9.01    -1.31   -24.10
 1753     -9.01    -1.31   -24.10
 1754     -9.02    -1.31   -24.10
 1755     -9.02    -1.31   -24.10
 1756     -9.64    -1.40   -24.10
 1757     -9.64    -1.40   -24.10
 1758     -9.65    -1.40   -24.10
 1759     -9.65    -1.40   -24.10
 1760     -9.65    -1.40   -24.10
 1761    -10.57    -1.53   -24.10
 1762    -10.58    -1.53   -24.10
 1763    -10.58    -1.54   -24.10
 1764    -10.58    -1.54   -24.10
 1765    -10.59    -1.54   -24.10
 1766    -11.81    -1.71   -24.10
 1767    -11.81    -1.71   -24.10
 1768    -11.82    -1.71   -24.10
 1769    -11.82    -1.72   -24.10
 1770    -11.82    -1.72   -24.10
 1771    -13.11    -1.90   -24.10
 1772    -13.12    -1.90   -24.10
 1773    -13.12    -1.90   -24.10
 1774    -13.12    -1.90   -24.10
 1775    -13.13    -1.91   -24.10
 1776    -14.48    -2.10   -24.10
 1777    -14.49    -2.10   -24.10
 1778    -14.49    -2.10   -24.10
 1779    -14.50    -2.10   -24.10
 1780    -14.50    -2.10   -24.10
 1781    -16.23    -2.35   -24.10
 1782    -16.23    -2.36   -24.10
 1783    -16.24    -2.36   -24.10
 1784    -16.24    -2.36   -24.10
 1785    -16.25     0.00   -24.10
 1786    -18.45     0.00   -24.10
 1787    -18.45     0.00   -24.10
 1788    -18.46     0.00   -24.10
 1789    -18.46     0.00   -24.10
 1790    -18.47     0.00   -24.10
 1791    -20.63     0.00   -24.10
 1792    -20.64     0.00   -24.10
 1793    -20.64     0.00   -24.10
 1794    -20.65     0.00   -24.10
 1795    -20.66     0.00   -24.10
 1796    -21.59     0.00   -24.10
 1797    -22.68     0.00   -24.10
 1798    -23.62     0.00   -24.10
 1799    -24.85     0.00   -24.10
 1800    -25.66     0.00   -24.10
 1801    -25.73     0.00   -24.10
 1802    -25.87     0.00   -24.10
 1803    -29.09     0.00   -24.10
 1804    -29.22     0.00   -24.10
 1805    -30.31     0.00   -24.10
 1806    -32.03     0.00   -24.10
 1807    -32.04     0.00   -24.10
 1808    -32.05     0.00   -24.10
 1809    -32.06     0.00   -24.10
 1810    -32.07     0.00   -24.10
 1811    -34.26     0.00   -24.10
 1812    -35.58     0.00   -24.10
 1813    -36.01     0.00   -24.10
 1814    -36.69     0.00   -24.10
 1815    -37.50     0.00   -24.10
 1816    -39.92     0.00   -24.10
 1817    -40.39     0.00   -24.10
 1818    -40.48     0.00   -24.10
 1819    -40.79     0.00   -24.10
 1820    -40.97     0.00   -24.10
 1821    -41.30     0.00   -24.10
 1822    -42.89     0.00   -24.10
 1823    -45.16     0.00   -24.10
 1824    -47.28     0.00   -24.10
 1825    -47.78     0.00   -24.10
 1826    -48.31     0.00   -24.10
 1827    -50.32     0.00   -24.10
 1828    -50.66     0.00   -24.10
 1829    -51.38     0.00   -24.10
 1830    -65.38     0.00   -24.10
 1831    -63.36     0.00   -24.10
 1832    -63.19     0.00   -24.10
 1833    -63.10     0.00   -24.10
 1834    -63.14     0.00   -24.10
 1835    -62.87     0.00   -24.10
 1836    -73.64     0.00   -24.10
 1837    -71.07     0.00   -24.10
 1838    -73.03     0.00   -24.10
 1839    -74.93     0.00   -24.10
 1840    -77.99     0.00   -24.10
 1841    -78.84     0.00   -24.10
 1842    -82.24     0.00   -24.10
 1843    -85.83     0.00   -24.10
 1844    -90.05     0.00   -24.10
 1845    -96.32     0.00   -24.10
 1846    -92.19     0.00   -24.10
 1847    -99.75     0.00   -24.10
 1848   -105.28     0.00   -24.10
 1849   -111.76     0.00   -24.10
 1850   -118.11     0.00   -24.10
 1851   -112.38     0.00   -24.10
 1852   -111.98     0.00   -24.10
 1853   -111.36     0.00   -24.10
 1854   -134.20     0.00   -24.10
 1855   -125.66     0.00   -24.10
 1856   -135.23     0.00   -24.10
 1857   -132.81     0.00   -24.10
 1858   -130.17     0.00   -24.10
 1859   -144.52     0.00   -24.10
 1860   -161.80     0.00   -24.10
 1861   -168.63     0.00   -24.11
 1862   -163.28     0.00   -24.11
 1863   -173.64     0.00   -24.11
 1864   -186.82     0.00   -24.11
 1865   -197.97     0.00   -24.11
 1866   -203.99     0.00   -24.12
 1867   -209.42     0.00   -24.11
 1868   -205.42     0.00   -24.12
 1869   -215.52     0.00   -24.12
 1870   -220.14     0.00   -24.12
 1871   -233.19     0.00   -24.12
 1872   -245.66     0.00   -24.12
 1873   -255.01     0.00   -24.13
 1874   -247.82     0.00   -24.13
 1875   -261.59     0.00   -24.13
 1876   -261.16     0.00   -24.13
 1877   -265.88     0.00   -24.14
 1878   -261.13     0.00   -24.15
 1879   -262.77     0.00   -24.16
 1880   -286.34     0.00   -24.16
 1881   -301.03     0.00   -24.17
 1882   -303.58     0.00   -24.17
 1883   -315.91     0.00   -24.17
 1884   -307.55     0.00   -24.19
 1885   -303.94     0.00   -24.24
 1886   -301.17     0.00   -24.32
 1887   -308.91     0.00   -24.40
 1888   -321.21     0.00   -24.45
 1889   -332.66     0.00   -24.39
 1890   -340.37     0.00   -24.37
 1891   -347.61     0.00   -24.34
 1892   -340.42     0.00   -24.32
 1893   -305.04     0.00   -24.32
 1894   -349.26     0.00   -24.30
 1895   -352.62     0.00   -24.31
 1896   -362.71     0.00   -24.31
 1897   -372.32     0.00   -24.32
 1898   -373.28     0.00   -24.32
 1899   -400.00     0.00   -24.33
 1900   -405.03     0.00   -24.34
 1901   -396.32     0.00   -24.36
 1902   -411.76     0.00   -24.37
 1903   -414.99     0.00   -24.36
 1904   -416.96     0.00   -24.38
 1905   -422.43     0.00   -24.38
 1906   -437.53     0.00   -24.38
 1907   -457.02     0.00   -24.38
 1908   -445.95     0.00   -24.40
 1909   -449.96     0.00   -24.42
 1910   -453.44     0.00   -24.43
 1911   -464.68     0.00   -24.44
 1912   -440.28     0.00   -24.44
 1913   -481.35     0.00   -24.45
 1914   -467.19     0.00   -24.49
 1915   -473.10     0.00   -24.52
 1916   -489.69     0.00   -24.54
 1917   -504.04     0.00   -24.56
 1918   -526.21     0.00   -24.55
 1919   -448.68     0.00   -24.66
 1920   -535.00     0.00   -24.66
 1921   -434.50     0.00   -24.73
 1922   -440.53     0.00   -24.77
 1923   -580.50     0.00   -24.81
 1924   -523.66     0.00   -24.85
 1925   -538.14     0.00   -24.89
 1926   -583.03     0.00   -24.94
 1927   -573.93     0.00   -24.95
 1928   -566.31     0.00   -24.79
 1929   -611.18     0.00   -24.88
 1930   -545.72     0.00   -24.95
 1931   -466.60     0.00   -24.99
 1932   -398.75     0.00   -25.08
 1933   -427.19     0.00   -25.10
 1934   -455.00     0.00   -25.09
 1935   -474.44     0.00   -25.11
 1936   -542.88     0.00   -25.10
 1937   -571.51     0.00   -25.17
 1938   -488.27     0.00   -25.21
 1939   -536.25     0.00   -25.21
 1940   -600.03     0.00   -25.21
 1941   -651.47     0.00   -25.15
 1942   -698.33     0.00   -25.17
 1943   -727.36     0.00   -25.27
 1944   -786.28     0.00   -25.48
 1945   -764.89     0.00   -25.82
 1946   -735.10     0.00   -25.72
 1947   -808.52     0.00   -25.70
 1948   -846.36     0.00   -25.78
 1949   -724.85     0.00   -25.84
 1950   -859.35     0.00   -26.11
 1951   -897.59     0.00   -26.24
 1952   -886.47     0.00   -26.35
 1953   -910.46     0.00   -26.39
 1954   -878.97     0.00   -26.45
 1955   -960.41     0.00   -26.48
 1956  -1008.06     0.00   -26.52
 1957  -1008.85     0.00   -26.62
 1958   -989.39     0.00   -26.69
 1959  -1019.26     0.00   -26.71
 1960  -1048.52     0.00   -26.78
 1961  -1047.21     0.00   -26.92
 1962  -1088.28     0.00   -27.07
 1963  -1137.24     0.00   -27.14
 1964  -1187.65     0.00   -27.28
 1965  -1235.42     0.00   -27.38
 1966  -1302.79     0.00   -27.52
 1967  -1355.44     0.00   -27.72
 1968  -1412.21     0.00   -27.85
 1969  -1492.33     0.00   -27.98
 1970  -1601.95     0.00   -28.02
 1971  -1618.79     0.00   -28.17
 1972  -1690.39     0.00   -28.27
 1973  -1752.45     0.00   -28.29
 1974  -1685.49     0.00   -28.34
 1975  -1610.07     0.00   -28.29
 1976  -1676.60     0.00   -28.34
 1977  -1714.94     0.00   -28.31
 1978  -1768.20     0.00   -28.37
 1979  -1778.00     0.00   -28.41
 1980  -1715.04     0.00   -28.42
 1981  -1643.51     0.00   -28.41
 1982  -1556.22     0.00   -28.34
 1983  -1552.72     0.00   -28.10
 1984  -1598.79     0.00   -28.20
 1985  -1597.50     0.00   -28.15
 1986  -1590.62     0.00   -28.05
 1987  -1662.10     0.00   -28.16
 1988  -1736.61     0.00   -28.15
 1989  -1757.98     0.00   -28.22
 1990  -1696.80     0.00   -28.34
 1991  -1880.76     0.00   -28.46
 1992  -1778.14     0.00   -28.52
 1993  -1816.31     0.00   -28.56
 1994  -1856.48     0.00   -28.48
 1995  -1874.76     0.00   -28.41
 1996  -1915.35     0.00   -28.46
 1997  -1959.85     0.00   -28.56
 1998  -1967.37     0.00   -28.67
 1999  -1998.00     0.00   -28.74
 2000  -2063.55     0.00   -28.81
 2001  -2007.61     0.00   -28.81
 2002  -2035.45     0.00   -28.83
 2003  -2036.64     0.00   -28.66
 2004  -2065.10     0.00   -28.55
 2005  -2074.93     0.00   -28.50
 2006  -2043.32     0.00   -28.30
 2007  -2093.19     0.00   -28.25
 2008  -2039.24     0.00   -28.34
 2009  -1938.55     0.00   -28.20
 2010  -1984.46     0.00   -28.12
