Country,Year,Latitude,Longitude,Depth,Magnitude
1,1900,-3,102,0,7
2,1900,-5,148,0,7
3,1900,44.5,148.5,35,6.7
4,1900,20,-105,0,7.3
5,1900,48,146,450,7.5
6,1900,27,126.5,35,6.9
7,1900,38.7,141.1,5,7
8,1900,20,-105,0,6.9
9,1900,10,-85.5,0,7.2
10,1900,-10,165,0,7.6
11,1900,37.3,141.7,35,6.6
12,1900,41.2,142.8,35,6.8
13,1900,-5,148,0,7.1
14,1900,-4,140,0,6.9
15,1900,57,-153.48,0,7.7
16,1900,11,-66,0,7.7
17,1900,33.9,139.4,5,6.6
18,1900,13,-90,0,7
19,1900,3,147,0,6.9
20,1900,43.5,148,35,7
21,1900,43,146,35,7.1
22,1901,-2,-82,0,7.2
23,1901,42.3,143.8,35,6.8
24,1901,60,-135,0,7.1
25,1901,26,100.1,0,6.5
26,1901,25,-110,0,6.9
27,1901,-10,40,0,6.9
28,1901,2,130,0,6.8
29,1901,44.5,149,35,7.3
30,1901,29.5,90.1,0,6.8
31,1901,44.5,149,35,6.6
32,1901,-10,160,0,7.2
33,1901,39,143,35,7
34,1901,28,130,35,7.2
35,1901,28,130,35,6.5
36,1901,40.5,142.5,35,7.2
37,1901,-22,170,0,7.9
38,1901,40.6,142.3,35,7.5
39,1901,-5,155,0,6.9
40,1901,-23,178,0,6.8
41,1901,-11,170,0,6.9
42,1901,40.2,141.9,35,6.8
43,1901,13,-87,0,7.1
44,1901,-43,173,0,6.8
45,1901,3,127,0,7
46,1901,26,-110,0,7.1
47,1901,14,122,0,7
48,1901,52,-177,0,7.1
49,1902,55,-165,0,7
50,1902,3,122,0,7
51,1902,41.6,141.9,35,6.5
52,1902,-8,150,0,7.2
53,1902,40.5,141.3,35,6.9
54,1902,40.9,141.7,0,6.9
55,1902,41.6,142.2,35,6.6
56,1902,-20,-174,0,6.9
57,1902,-43,-171,0,6.9
58,1902,20,-70,0,6.9
59,1902,41.4,141.8,35,6.7
60,1902,-20,-70,0,6.8
61,1902,35,-120,0,6.8
62,1902,0,133,0,6.9
63,1902,51.6,104.5,16,6.6
64,1902,14,-91,0,7.5
65,1902,39,144,35,7
66,1902,30.5,131.5,35,6.6
67,1902,42.8,144.8,35,6.5
68,1902,43.2,129.6,20,6.7
69,1902,-25,-175,0,6.8
70,1902,40,77,0,7.7
71,1902,40,77,0,6.8
72,1902,18,146,0,7.5
73,1902,16,-93,0,7.8
74,1902,36.5,70.5,200,7.2
75,1902,36,96,0,6.9
76,1902,-22,170,0,6.9
77,1902,22.5,121.5,5,6.8
78,1902,29,-114,0,7.1
79,1903,-20,-175,400,7.8
80,1903,15,-98,0,7.4
81,1903,50,-170,0,7
82,1903,48,98,0,7.1
83,1903,34,137,100,6.5
84,1903,52,175,0,6.8
85,1903,-8,106,0,7.3
86,1903,37,71,160,6.9
87,1903,-20,-175,0,7.1
88,1903,-17,168,0,7
89,1903,57,-156,0,6.9
90,1903,36.3,22.97,80,8.1
91,1903,-20,167,0,6.9
92,1903,-20,175,0,6.8
93,1903,52.7,107.6,30,6.7
94,1903,-27,-70,0,6.8
95,1903,-10,165,0,6.8
96,1903,7,127,0,7.1
97,1904,-50,165,0,6.9
98,1904,7,-79,0,7.2
99,1904,42.7,146.1,35,6.8
100,1904,-29,-71,0,7
101,1904,41.7,23.25,0,7.1
102,1904,-33,-178,0,6.8
103,1904,2,130,0,7
104,1904,39,135,350,7.4
105,1904,52,159,0,7.5
106,1904,52,159,0,7.6
107,1904,52,159,0,7.2
108,1904,52,159,0,6.7
109,1904,-42,179,0,6.9
110,1904,30,131,35,7.1
111,1904,64,-151,0,7.2
112,1904,30,101,0,6.8
113,1904,12,58,0,7
114,1904,8,113,0,7
115,1904,8.5,-83,0,7.2
116,1904,31,138,100,6.7
117,1905,0,143,0,6.8
118,1905,1,123,90,7.8
119,1905,53,-178,0,7.2
120,1905,26,96,0,6.8
121,1905,-10,168,0,6.8
122,1905,-23,-176,0,6.9
123,1905,-4,149,60,6.9
124,1905,-4,149,0,6.8
125,1905,-27.5,-173,60,7.3
126,1905,-10,168,0,7.2
127,1905,50,180,0,7
128,1905,33,76,0,7.8
129,1905,-32,-171,0,6.8
130,1905,-21,-70,60,6.8
131,1905,-4,149,0,6.9
132,1905,34.1,132.5,55,7
133,1905,-20,-175,0,7
134,1905,-20,-175,0,7.1
135,1905,37.4,141.8,35,7.1
136,1905,42,132,100,6.5
137,1905,49.4,97.3,0,8
138,1905,49.5,97.3,20,7
139,1905,22,143,450,7.2
140,1905,49.5,97.3,20,6.5
141,1905,49.3,94.9,0,8.5
142,1905,43,131,500,6.6
143,1905,45,143,250,7.3
144,1905,39,16,0,6.8
145,1905,55,165,0,7.3
146,1905,29,74,60,6.9
147,1905,42,42,60,7.3
148,1905,40,24,0,6.8
149,1905,38,37,60,6.8
150,1905,50,180,0,6.9
151,1905,17,-113,0,7.1
152,1906,34,137,350,7.7
153,1906,1,-80,0,8.6
154,1906,-10,160,0,7.1
155,1906,43,80,60,7.1
156,1906,2,-90,0,6.8
157,1906,23.6,120.4,5,6.8
158,1906,20,-110,0,7.2
159,1906,23.6,120.4,5,7.1
160,1906,23.6,120.4,5,6.9
161,1906,37.7,-122.55,10,7.7
162,1906,0,145,0,7.1
163,1906,20,122,60,6.9
164,1906,15,92,60,7.1
165,1906,50.6,178.36,0,8.4
166,1906,-32.4,-71.4,0,8.2
167,1906,-33,-72,0,6.9
168,1906,9,39,0,6.8
169,1906,-4,149,0,7
170,1906,-21,-70,0,7.1
171,1906,27,97,100,6.7
172,1906,34,141,35,7
173,1906,-7,149,0,8
174,1906,-4,149,0,6.8
175,1906,-2,-79,150,7.5
176,1906,-4,149,0,7.2
