Year,Precipitation (mm),Temperature (C),CO2 (ppm),Ice (km^2)
1900,572.5668391,-5.044270564,1958.178,9.03
1901,573.0239696,-4.909187288,2024.184,8.95
1902,558.0661838,-5.418014241,2075.522,9.03
1903,585.9440679,-5.33978811,2262.539,8.84
1904,571.6804233,-5.533184242,2288.208,8.8
1905,569.1365192,-5.316797796,2431.221,8.81
1906,578.5138688,-5.203745258,2592.569,8.9
1907,558.0585187,-5.635025795,2874.928,8.82
1908,581.8031945,-5.120023927,2750.25,8.88
1909,591.2510088,-5.394067943,2878.595,8.92
1910,581.1520779,-5.17726871,3003.273,9.07
1911,579.0472107,-5.258115623,3065.612,9.16
1912,584.555751,-5.612847043,3223.293,9.13
1913,605.9638515,-5.380928465,3457.981,9.16
1914,542.9103639,-5.085183868,3116.95,9.04
1915,608.3124978,-5.306192878,3072.946,8.95
1916,615.8142783,-5.452088722,3303.967,9.14
1917,613.6425375,-5.276024961,3501.985,9.3
1918,589.8050138,-5.356212997,3432.312,9.25
1919,565.0480816,-5.147203541,2955.602,9.04
1920,590.1869978,-5.233985026,3417.644,8.95
1921,596.1151707,-5.065258019,2944.601,8.97
1922,628.1015908,-5.186972251,3098.615,8.9
1923,588.1189559,-5.1410703,3556.99,8.77
1924,588.8477582,-5.14659927,3531.321,8.92
1925,610.3719736,-5.135069624,3575.325,8.72
1926,568.0617132,-4.956127493,3604.661,8.98
1927,601.7969477,-5.329627594,3894.354,9.01
1928,600.2081048,-5.291644752,3905.355,8.98
1929,640.0103294,-5.480327427,4198.715,9.03
1930,557.031389,-5.326236564,3861.351,8.79
1931,583.7532161,-4.979657053,3446.98,8.77
1932,604.1652397,-5.054278036,3105.949,8.93
1933,591.226802,-5.394422171,3274.631,8.75
1934,593.7101181,-4.957574582,3567.991,9.25
1935,616.1998189,-5.270378514,3766.009,9.19
1936,569.7892481,-4.970309536,4143.71,8.95
1937,574.7732842,-4.746499037,4433.403,9.04
1938,600.7613683,-4.879279833,4187.714,8.81
1939,579.5233575,-5.212062065,4371.064,9
1940,575.8794059,-4.781422803,4763.433,8.6
1941,582.8971288,-5.036384506,4891.778,9.14
1942,564.5617563,-5.060094772,4921.114,9.14
1943,586.5622392,-4.60210417,5100.797,9.11
1944,585.4393257,-4.883410933,5071.461,9.09
1945,606.3327125,-5.182192691,4253.72,9.04
1946,586.396827,-4.99987893,4539.746,9.3
1947,592.4085963,-4.801162916,5104.464,9.13
1948,571.7479609,-5.189435679,5386.823,9.27
1949,589.0789188,-5.54355636,5203.473,9.43
1950,619.7866313,-5.506967078,5977.21,9.3
1951,562.1568546,-5.190815945,6479.589,9.34
1952,567.7574237,-5.118393258,6582.265,9.4
1953,572.137722,-5.048636259,6750.947,8.93
1954,592.0246508,-5.266370639,6838.955,8.95
1955,602.3391404,-5.417198727,7488.014,8.93
1956,567.3626013,-5.551979508,7983.059,8.94
1957,565.2613727,-5.035431396,8324.09,8.74
1958,553.665701,-5.160540611,8544.11,8.66
1959,564.0514701,-5.114483101,8998.818,9.01
1960,567.0526643,-5.36304679,9420.523,8.57
1961,569.7008967,-5.065334181,9460.86,8.71
1962,564.9168865,-5.202705567,9849.562,8.74
1963,564.3927143,-4.97785394,10388.611,9.03
1964,601.7507372,-5.563369762,10982.665,8.91
1965,551.805488,-5.317817727,11477.71,8.84
1966,594.6115235,-5.223441901,12057.096,8.84
1967,586.2486549,-5.056294548,12442.131,8.58
1968,572.9654811,-5.377440435,13076.522,8.76
1969,566.5982195,-5.313646031,13861.26,9.04
1970,555.662528,-5.115999885,14862.351,8.82
1971,561.7195077,-5.161738734,15430.736,8.68
1972,551.9176841,-5.324206041,16046.792,8.92
1973,580.9153345,-4.937949431,16919.538,8.56
1974,574.1917184,-5.230293298,16952.541,8.49
1975,576.4288541,-5.027265118,16853.532,8.53
1976,556.2123858,-5.494899264,17836.288,8.66
1977,575.4537248,-5.027857892,18430.342,8.61
1978,560.6442102,-5.169694488,18654.029,8.62
1979,560.1796301,-5.282777562,19688.123,8.61
1980,553.4302121,-4.651901549,19490.105,8.76
1981,558.7559191,-4.433745402,18892.384,8.58
1982,547.7763019,-5.128117995,18749.371,8.82
1983,539.1077901,-4.840714275,18679.698,8.93
1984,544.110144,-4.916732052,19361.76,8.4
1985,529.1443999,-5.073440464,19944.813,8.16
1986,519.7208484,-4.994327327,20560.869,8.67
1987,519.1936886,-4.955857332,21092.584,8.38
1988,550.3269184,-4.34387107,21873.655,8.48
1989,540.9210122,-4.84758112,22357.699,8.45
1990,552.7676151,-4.525846051,22467.709,7.56
1991,535.3082988,-4.5125679,22797.739,7.88
1992,523.8757803,-5.028633529,22603.388,8.67
1993,521.0702966,-5.136857648,22596.054,7.82
1994,537.5089541,-5.014572196,22977.422,8.34
1995,537.6254527,-4.534227884,23461.466,7.32
1996,553.2533195,-4.680936368,23989.514,8.8
1997,533.33495,-4.694423608,24389.217,7.88
1998,538.5767891,-4.353994942,24359.881,7.89
1999,551.3596008,-4.556114919,24238.87,7.74
2000,560.4142654,-4.572628542,24807.255,7.76
2001,533.0964218,-4.350389076,25401.309,7.81
2002,529.6708829,-4.154011468,25654.332,7.33
2003,531.8028195,-4.327939444,27194.472,7.49
2004,526.463248,-4.589469449,28628.269,7.49
2005,543.1500647,-3.795151104,29677.031,6.93
2006,565.2095146,-4.157199517,30692.79,7.04
2007,548.4431367,-3.826102202,31411.522,5.93
2008,543.5683135,-4.233765161,32207.261,6.59
2009,526.2251121,-4.158692591,32049.58,6.82
2010,548.3047336,-4.043304162,33615.389,6.43
